VoterId,ElectionDate,ElectionDescription,VotingMethod
173062,09/12/2000,STATE PRIMARY ELECTION,P
173062,11/07/2000,STATE GENERAL,P
173062,11/03/1998,STATE GENERAL,P
173062,11/02/2004,11/02/2004 - STATE GENERAL,P
173062,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
173062,11/07/2006,11/07/2006 - STATE GENERAL,P
173062,11/04/2008,11/04/2008 - STATE GENERAL,P
173062,11/02/2010,11/02/2010 - STATE GENERAL,P
173062,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 88 - NEW ULM,P
173062,11/06/2012,11/06/2012 - STATE GENERAL,P
173062,11/08/2016,11/08/2016 - STATE GENERAL,P
140344,11/02/2004,11/02/2004 - STATE GENERAL,P
140344,11/07/2006,11/07/2006 - STATE GENERAL,P
140344,11/08/1994,STATE GENERAL,P
140344,11/06/2012,11/06/2012 - STATE GENERAL,P
140344,11/08/2016,11/08/2016 - STATE GENERAL,P
79401,11/02/2004,11/02/2004 - STATE GENERAL,P
79401,11/07/2000,STATE GENERAL,P
79401,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
79401,11/07/2006,11/07/2006 - STATE GENERAL,P
79401,11/04/2008,11/04/2008 - STATE GENERAL,P
79401,11/06/2012,11/06/2012 - STATE GENERAL,P
79401,11/08/2016,11/08/2016 - STATE GENERAL,P
218817,11/07/2000,STATE GENERAL,P
218817,11/03/1998,STATE GENERAL,P
218817,11/05/1996,STATE GENERAL,P
218817,11/08/1994,STATE GENERAL,P
218817,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
218817,11/02/2004,11/02/2004 - STATE GENERAL,P
218817,11/07/2006,11/07/2006 - STATE GENERAL,P
218817,11/04/2008,11/04/2008 - STATE GENERAL,P
218817,08/10/2010,08/10/2010 - STATE PRIMARY,P
218817,11/02/2010,11/02/2010 - STATE GENERAL,P
218817,11/06/2012,11/06/2012 - STATE GENERAL,P
218817,05/07/2013,05/07/2013 - SPEC ELECT CITYWIDE ROCHESTER,P
218817,07/30/2013,07/30/2013 - SPEC ELECT MCD ROCHESTER W-05,P
218817,09/17/2013,09/17/2013 - SPEC ELECT MCD ROCHESTER W-05,P
218817,11/04/2014,11/04/2014 - STATE GENERAL,P
218817,11/08/2016,11/08/2016 - STATE GENERAL,P
241001,11/07/2000,STATE GENERAL,P
241001,09/13/1994,STATE PRIMARY ELECTION,P
241001,11/02/2004,11/02/2004 - STATE GENERAL,P
241001,11/05/1996,SCHOOL BOARD ELECTION,P
241001,11/08/1994,STATE GENERAL,P
241001,09/15/1998,STATE PRIMARY ELECTION,P
241001,11/02/1993,SCHOOL BOARD ELECTION,P
241001,10/23/2001,COUNTY BOND ISSUE,M
241001,11/07/2006,11/07/2006 - STATE GENERAL,P
241001,11/04/2008,11/04/2008 - STATE GENERAL,P
241001,11/03/1998,STATE GENERAL,P
241001,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
241001,11/08/2016,11/08/2016 - STATE GENERAL,P
293968,11/07/2000,STATE GENERAL,P
293968,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
293968,11/02/2004,11/02/2004 - STATE GENERAL,P
293968,11/04/2008,11/04/2008 - STATE GENERAL,P
293968,11/03/1998,STATE GENERAL,P
293968,11/06/2012,11/06/2012 - STATE GENERAL,P
455709,09/12/2000,STATE PRIMARY ELECTION,P
455709,11/07/2000,STATE GENERAL,P
455709,11/07/2000,MUNICIPAL GENERAL,P
455709,11/03/1998,STATE GENERAL,P
455709,11/05/1996,STATE GENERAL,P
455709,11/07/1995,SCHOOL BOARD ELECTION,P
455709,09/13/1994,STATE PRIMARY ELECTION,P
455709,11/08/1994,STATE GENERAL,P
455709,11/02/1993,SCHOOL BOARD ELECTION,P
455709,11/04/2003,11/04/2003 GENERAL ELECTION,P
455709,03/12/2002,TOWNSHIP,P
455709,12/18/2001,SCHOOL DISTRICT 31 REFERENDUM,M
455709,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
455709,11/02/2004,11/02/2004 - STATE GENERAL,P
455709,03/11/2003,03-11-2003 TOWNSHIP ELECTION,P
455709,11/07/2006,11/07/2006 - STATE GENERAL,P
455709,11/04/2008,11/04/2008 - STATE GENERAL,P
455709,03/10/2009,03/10/2009 - TOWNSHIP ELECTION,P
455709,11/03/2009,11/03/2009 - SD SPEC ELECT ISD 829 - WASECA,P
455709,01/26/2010,01/26/2010 - SPEC ELECT SEN DIST 26,P
455709,11/02/2010,11/02/2010 - STATE GENERAL,P
455709,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 829 - WASECA,P
455709,08/14/2012,08/14/2012 - STATE PRIMARY,P
455709,11/06/2012,11/06/2012 - STATE GENERAL,P
455709,11/04/2014,11/04/2014 - STATE GENERAL,P
455709,11/03/2015,11/03/2015 - SD SPEC ELECT ISD 829 - WASECA,P
455709,11/08/2016,11/08/2016 - STATE GENERAL,A
102518,09/14/2004,09/14/2004 - STATE PRIMARY,P
102518,11/05/2002,11-05-02 STATE GENERAL ELECTION,P
102518,09/10/2002,09-10-02 STATE PRIMARY,P
102518,11/03/1998,STATE GENERAL,P
102518,11/05/1996,STATE GENERAL,P
102518,11/02/2004,11/02/2004 - STATE GENERAL,P
102518,05/17/2005,05/17/2005 - SD SPEC ELECT ISD 199 - INVER GROVE,P
102518,11/07/2006,11/07/2006 - STATE GENERAL,P
102518,11/04/2008,11/04/2008 - STATE GENERAL,A
102518,08/10/2010,08/10/2010 - STATE PRIMARY,P
102518,11/02/2010,11/02/2010 - STATE GENERAL,P
102518,11/06/2012,11/06/2012 - STATE GENERAL,P
102518,11/04/2014,11/04/2014 - STATE GENERAL,P
102518,11/03/2015,11/03/2015 - SD SPEC ELECT ISD 535 - ROCHESTER,P
102518,11/08/2016,11/08/2016 - STATE GENERAL,P
539996,11/05/1996,STATE GENERAL,P
539996,11/07/1995,SCHOOL BOARD ELECTION,P
539996,11/02/2004,11/02/2004 - STATE GENERAL,P
539996,11/04/2008,11/04/2008 - STATE GENERAL,P
539996,11/06/2012,11/06/2012 - STATE GENERAL,P
539996,11/04/2014,11/04/2014 - STATE GENERAL,A
539996,11/08/2016,11/08/2016 - STATE GENERAL,P
540075,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
540075,09/12/2000,STATE PRIMARY ELECTION,P
540075,11/07/2000,STATE GENERAL,P
540075,11/02/1999,SCHOOL BOARD ELECTION,P
540075,11/03/1998,STATE GENERAL,P
540075,09/10/1996,STATE PRIMARY ELECTION,P
540075,11/05/1996,STATE GENERAL,P
540075,09/13/1994,STATE PRIMARY ELECTION,P
540075,11/08/1994,STATE GENERAL,P
540075,11/08/1994,SCHOOL BOARD ELECTION,P
540075,11/02/1993,SCHOOL BOARD ELECTION,P
540075,11/02/2004,11/02/2004 - STATE GENERAL,P
540075,11/08/2005,11/08/2005 - SD SPEC ELECT ISD 081 - COMFREY,P
540075,09/12/2006,09/12/2006 - STATE PRIMARY,P
540075,11/07/2006,11/07/2006 - STATE GENERAL,A
540075,11/06/2007,11/06/2007 - SD SPEC ELECT ISD 081 - COMFREY,P
540075,09/09/2008,09/09/2008 - STATE PRIMARY,P
540075,11/04/2008,11/04/2008 - STATE GENERAL,P
540075,11/02/2010,11/02/2010 - STATE GENERAL,P
540075,11/06/2012,11/06/2012 - STATE GENERAL,P
540075,08/12/2014,08/12/2014 - STATE PRIMARY,P
540075,11/04/2014,11/04/2014 - STATE GENERAL,P
540075,11/08/2016,11/08/2016 - STATE GENERAL,P
540087,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
540087,11/07/2000,STATE GENERAL,P
540087,11/08/1994,STATE GENERAL,P
540087,11/02/2004,11/02/2004 - STATE GENERAL,P
540087,11/07/2006,11/07/2006 - STATE GENERAL,P
540087,11/04/2008,11/04/2008 - STATE GENERAL,P
540087,11/06/2012,11/06/2012 - STATE GENERAL,P
540087,11/04/2014,11/04/2014 - STATE GENERAL,P
540087,11/08/2016,11/08/2016 - STATE GENERAL,P
540274,11/07/2000,STATE GENERAL,P
540274,11/05/1996,STATE GENERAL,P
540274,11/08/1994,STATE GENERAL,P
540274,11/02/2004,11/02/2004 - STATE GENERAL,P
540274,11/07/2006,11/07/2006 - STATE GENERAL,P
540274,11/04/2008,11/04/2008 - STATE GENERAL,P
540274,11/06/2012,11/06/2012 - STATE GENERAL,P
540274,11/04/2014,11/04/2014 - STATE GENERAL,P
540274,11/08/2016,11/08/2016 - STATE GENERAL,P
504294,11/02/2004,11/02/2004 - STATE GENERAL,P
504294,11/07/2000,STATE GENERAL,P
504294,09/15/1998,STATE PRIMARY ELECTION,P
504294,11/03/1998,STATE GENERAL,P
504294,09/10/1996,STATE PRIMARY ELECTION,P
504294,11/05/1996,STATE GENERAL,P
504294,09/13/1994,STATE PRIMARY ELECTION,P
504294,11/08/1994,STATE GENERAL,P
504294,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
504294,11/07/2006,11/07/2006 - STATE GENERAL,P
504294,09/09/2008,09/09/2008 - STATE PRIMARY,P
504294,11/04/2008,11/04/2008 - STATE GENERAL,P
504294,11/02/2010,11/02/2010 - STATE GENERAL,P
504294,11/06/2012,11/06/2012 - STATE GENERAL,P
504294,11/04/2014,11/04/2014 - STATE GENERAL,P
504294,11/08/2016,11/08/2016 - STATE GENERAL,P
27284,11/04/2008,11/04/2008 - STATE GENERAL,P
27284,11/02/2010,11/02/2010 - STATE GENERAL,A
27284,11/06/2012,11/06/2012 - STATE GENERAL,P
27284,11/04/2014,11/04/2014 - STATE GENERAL,P
27284,11/08/2016,11/08/2016 - STATE GENERAL,A
504663,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
504663,11/06/2001,2001 GENERAL ELECTION,P
504663,09/12/2000,STATE PRIMARY ELECTION,P
504663,11/07/2000,STATE GENERAL,P
504663,01/01/2000,SPECIAL ELECTION,P
504663,11/02/1999,SCHOOL BOARD ELECTION,P
504663,11/03/1998,STATE GENERAL,P
504663,09/10/1996,STATE PRIMARY ELECTION,P
504663,11/05/1996,STATE GENERAL,P
504663,12/31/1996,SPECIAL ELECTION,P
504663,11/07/1995,SCHOOL BOARD ELECTION,P
504663,09/13/1994,STATE PRIMARY ELECTION,P
504663,11/08/1994,STATE GENERAL,P
504663,09/10/2002,09-10-2002 STATE PRIMARY,P
504663,01/31/2006,01/31/2006 - SPEC ELECT CITYWIDE MANKATO,P
504663,09/12/2006,09/12/2006 - STATE PRIMARY,P
504663,11/07/2006,11/07/2006 - STATE GENERAL,P
504663,11/06/2007,11/06/2007 - SCHOOL DISTRICT GENERAL,P
504663,04/29/2008,04/29/2008 - SD SPEC ELECT ISD 077 - MANKATO,P
504663,09/09/2008,09/09/2008 - STATE PRIMARY,P
504663,11/04/2008,11/04/2008 - STATE GENERAL,P
504663,08/10/2010,08/10/2010 - STATE PRIMARY,P
504663,11/02/2010,11/02/2010 - STATE GENERAL,P
504663,11/06/2012,11/06/2012 - STATE GENERAL,P
504663,11/05/2013,11/05/2013 - SCHOOL DISTRICT GENERAL,P
504663,11/04/2014,11/04/2014 - STATE GENERAL,P
504663,11/08/2016,11/08/2016 - STATE GENERAL,P
504663,11/07/2017,11/07/2017 - SCHOOL DISTRICT GENERAL,P
759737,11/07/2000,STATE GENERAL,P
759737,11/02/1999,SCHOOL BOARD ELECTION,P
759737,11/03/1998,STATE GENERAL,P
759737,11/04/1997,SCHOOL BOARD ELECTION,P
759737,11/05/1996,STATE GENERAL,P
759737,09/13/1994,STATE PRIMARY ELECTION,P
759737,11/02/1993,SCHOOL BOARD ELECTION,P
759737,11/02/2004,11/02/2004 - STATE GENERAL,P
759737,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
759737,11/04/2003,11/04/2003 GENERAL ELECTION,P
759737,09/13/2005,09/13/2005 - SCHOOL DISTRICT PRIMARY,P
759737,11/07/2006,11/07/2006 - STATE GENERAL,P
759737,04/24/2007,04/24/2007 - SD SPEC ELECT ISD 204 - KASSON-MANTORVILLE,P
759737,06/19/2007,06/19/2007 - SD SPEC ELECT ISD 204 - KASSON-MANTORVILLE,P
759737,11/04/2008,11/04/2008 - STATE GENERAL,P
759737,11/02/2010,11/02/2010 - STATE GENERAL,P
759737,02/08/2011,02/08/2011 - SD SPEC ELECT ISD 0204 - KASSON-MANTORVILLE,P
759737,11/06/2012,11/06/2012 - STATE GENERAL,P
759737,05/20/2014,05/20/2014 - SD SPEC ELECT ISD 204 - KASSON-MANTORVILLE,P
759737,11/04/2014,11/04/2014 - STATE GENERAL,P
759737,11/08/2016,11/08/2016 - STATE GENERAL,P
540666,11/06/2001,2001 SCHOOL REFERENDUMS,P
540666,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
540666,11/07/2000,STATE GENERAL,P
540666,11/07/2000,SCHOOL BOARD ELECTION,P
540666,11/03/1998,STATE GENERAL,P
540666,09/10/1996,STATE PRIMARY ELECTION,P
540666,11/05/1996,STATE GENERAL,P
540666,11/07/1995,SCHOOL BOARD ELECTION,P
540666,11/08/1994,STATE GENERAL,P
540666,11/02/1993,MUNICIPAL GENERAL,P
540666,11/02/2004,11/02/2004 - STATE GENERAL,P
540666,03/11/2003,03/11/2003 TOWNSHIP ELECTION,P
540666,11/07/2006,11/07/2006 - STATE GENERAL,P
540666,11/04/2008,11/04/2008 - STATE GENERAL,P
540666,11/02/2010,11/02/2010 - STATE GENERAL,P
540666,11/06/2012,11/06/2012 - STATE GENERAL,P
540666,11/04/2014,11/04/2014 - STATE GENERAL,P
540666,11/08/2016,11/08/2016 - STATE GENERAL,M
719417,11/07/1995,SCHOOL BOARD ELECTION,P
719417,11/03/1998,STATE GENERAL,P
719417,01/01/2000,SPECIAL ELECTION,P
719417,11/08/1994,STATE GENERAL,P
719417,11/07/2000,STATE GENERAL,P
719417,11/02/2004,11/02/2004 - STATE GENERAL,P
719417,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
719417,11/06/2001,"NOVEMBER 6, 2001 GENERAL ELECTION",P
719417,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
719417,11/08/2016,11/08/2016 - STATE GENERAL,P
720147,11/06/2001,"NOVEMBER 6, 2001 GENERAL ELECTION",P
720147,11/02/2004,11/02/2004 - STATE GENERAL,P
720147,03/12/2002,TOWNSHIP,P
720147,11/07/2000,STATE GENERAL,P
720147,11/07/2000,MUNICIPAL GENERAL,P
720147,11/02/1999,MUNICIPAL GENERAL,P
720147,11/02/1999,SCHOOL BOARD ELECTION,P
720147,09/15/1998,STATE PRIMARY ELECTION,P
720147,11/03/1998,STATE GENERAL,P
720147,11/03/1998,MUNICIPAL GENERAL,P
720147,11/03/1998,SCHOOL BOARD ELECTION,P
720147,11/05/1996,STATE GENERAL,P
720147,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
720147,03/11/2003,03/11/2003 TOWNSHIP ELECTION,P
720147,03/09/2004,03/09/2004 TOWNSHIP ELECTION,P
720147,03/08/2005,03/08/2005 - TOWNSHIP ELECTION,P
720147,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
720147,03/14/2006,03/14/2006 - TOWNSHIP ELECTION,P
720147,11/07/2006,11/07/2006 - STATE GENERAL,P
720147,03/13/2007,03/13/2007 - TOWNSHIP ELECTION,P
720147,11/06/2007,11/06/2007 - SCHOOL DISTRICT GENERAL,P
720147,11/04/2008,11/04/2008 - STATE GENERAL,P
720147,11/02/2010,11/02/2010 - STATE GENERAL,P
720147,11/06/2012,11/06/2012 - STATE GENERAL,P
720147,11/08/2016,11/08/2016 - STATE GENERAL,P
721367,11/03/1998,STATE GENERAL,P
721367,11/04/2008,11/04/2008 - STATE GENERAL,P
721367,11/06/2012,11/06/2012 - STATE GENERAL,P
721367,12/17/2012,12/17/2012 - SD SPEC ELECT ISD 173 - MOUNTAIN LAKE,P
721367,11/08/2016,11/08/2016 - STATE GENERAL,P
505470,11/05/2002,11-05-2002 STATE GENERAL ELECTION,A
505470,11/06/2001,2001 GENERAL ELECTION,P
505470,11/07/2000,STATE GENERAL,P
505470,01/01/2000,SPECIAL ELECTION,P
505470,11/03/1998,STATE GENERAL,P
505470,11/05/1996,STATE GENERAL,P
505470,11/08/1994,STATE GENERAL,P
505470,09/10/2002,09-10-2002 STATE PRIMARY,P
505470,01/11/2005,01/11/2005 - SPEC PRI MCD MANKATO W-02,P
505470,01/31/2006,01/31/2006 - SPEC ELECT CITYWIDE MANKATO,P
505470,11/07/2006,11/07/2006 - STATE GENERAL,P
505470,11/04/2008,11/04/2008 - STATE GENERAL,A
505470,08/10/2010,08/10/2010 - STATE PRIMARY,P
505470,11/02/2010,11/02/2010 - STATE GENERAL,P
505470,11/06/2012,11/06/2012 - STATE GENERAL,A
505470,11/04/2014,11/04/2014 - STATE GENERAL,A
505470,11/08/2016,11/08/2016 - STATE GENERAL,A
760474,11/07/2000,STATE GENERAL,P
760474,09/15/1998,STATE PRIMARY ELECTION,P
760474,11/03/1998,STATE GENERAL,P
760474,09/10/1996,STATE PRIMARY ELECTION,P
760474,11/05/1996,STATE GENERAL,P
760474,11/08/1994,STATE GENERAL,P
760474,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
760474,09/10/2002,09-10-2002 STATE PRIMARY,P
760474,11/02/2004,11/02/2004 - STATE GENERAL,P
760474,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
760474,11/07/2006,11/07/2006 - STATE GENERAL,P
760474,11/04/2008,11/04/2008 - STATE GENERAL,P
760474,11/02/2010,11/02/2010 - STATE GENERAL,P
760474,11/06/2012,11/06/2012 - STATE GENERAL,P
760474,11/08/2016,11/08/2016 - STATE GENERAL,P
721627,11/02/2004,11/02/2004 - STATE GENERAL,P
721627,11/07/2000,STATE GENERAL,P
721627,01/01/2000,SPECIAL ELECTION,P
721627,11/04/2008,11/04/2008 - STATE GENERAL,P
721627,11/02/2010,11/02/2010 - STATE GENERAL,M
721627,11/08/2016,11/08/2016 - STATE GENERAL,M
721682,11/05/2002,11-05-2002 STATE GENERAL ELECTION,A
721682,11/02/2004,11/02/2004 - STATE GENERAL,P
721682,09/12/2000,STATE PRIMARY ELECTION,P
721682,11/07/2000,STATE GENERAL,P
721682,11/04/2008,11/04/2008 - STATE GENERAL,P
721682,11/02/2010,11/02/2010 - STATE GENERAL,P
721682,11/06/2012,11/06/2012 - STATE GENERAL,P
721682,11/04/2014,11/04/2014 - STATE GENERAL,P
721682,02/03/2015,02/03/2015 - SD SPEC ELECT ISD 840 - ST JAMES,P
721682,11/03/2015,11/03/2015 - SD SPEC ELECT ISD 840 - ST JAMES,P
721682,11/08/2016,11/08/2016 - STATE GENERAL,P
721807,11/02/2004,11/02/2004 - STATE GENERAL,P
721807,11/07/2000,STATE GENERAL,P
721807,11/02/1999,SCHOOL BOARD ELECTION,P
721807,11/04/2003,11/04/2003 GENERAL ELECTION,P
721807,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
721807,11/07/2006,11/07/2006 - STATE GENERAL,P
721807,11/06/2007,11/06/2007 - SCHOOL DISTRICT GENERAL,P
721807,11/04/2008,11/04/2008 - STATE GENERAL,P
721807,11/02/2010,11/02/2010 - STATE GENERAL,P
721807,11/06/2012,11/06/2012 - STATE GENERAL,P
721807,12/17/2012,12/17/2012 - SD SPEC ELECT ISD 173 - MOUNTAIN LAKE,P
721807,11/04/2014,11/04/2014 - STATE GENERAL,P
721807,11/08/2016,11/08/2016 - STATE GENERAL,P
792976,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
792976,11/07/2000,STATE GENERAL,P
792976,11/02/1999,SCHOOL BOARD ELECTION,P
792976,11/03/1998,STATE GENERAL,P
792976,11/05/1996,STATE GENERAL,P
792976,11/07/1995,MUNICIPAL GENERAL,P
792976,11/08/1994,STATE GENERAL,P
792976,11/02/2004,11/02/2004 - STATE GENERAL,P
792976,11/04/2003,11/04/2003 GENERAL ELECTION,P
792976,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
792976,09/12/2006,09/12/2006 - STATE PRIMARY,P
792976,11/07/2006,11/07/2006 - STATE GENERAL,P
792976,11/04/2008,11/04/2008 - STATE GENERAL,A
792976,11/03/2009,11/03/2009 - SD SPEC ELECT ISD 2860 - BLUE EARTH AREA,P
760760,09/12/2000,STATE PRIMARY ELECTION,P
760760,11/07/2000,STATE GENERAL,P
760760,09/15/1998,STATE PRIMARY ELECTION,P
760760,11/03/1998,STATE GENERAL,P
760760,09/10/1996,STATE PRIMARY ELECTION,P
760760,11/05/1996,STATE GENERAL,P
760760,09/13/1994,STATE PRIMARY ELECTION,P
760760,11/08/1994,STATE GENERAL,P
760760,11/02/2004,11/02/2004 - STATE GENERAL,P
760760,09/10/2002,09-10-2002 STATE PRIMARY,P
760760,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
760760,09/12/2006,09/12/2006 - STATE PRIMARY,P
760760,11/07/2006,11/07/2006 - STATE GENERAL,P
760760,04/24/2007,04/24/2007 - SD SPEC ELECT ISD 204 - KASSON-MANTORVILLE,P
760760,06/19/2007,06/19/2007 - SD SPEC ELECT ISD 204 - KASSON-MANTORVILLE,P
760760,09/09/2008,09/09/2008 - STATE PRIMARY,P
760760,11/04/2008,11/04/2008 - STATE GENERAL,P
760760,08/10/2010,08/10/2010 - STATE PRIMARY,P
760760,11/02/2010,11/02/2010 - STATE GENERAL,P
760760,02/08/2011,02/08/2011 - SD SPEC ELECT ISD 0204 - KASSON-MANTORVILLE,P
760760,08/14/2012,08/14/2012 - STATE PRIMARY,P
760760,11/06/2012,11/06/2012 - STATE GENERAL,P
760760,05/20/2014,05/20/2014 - SD SPEC ELECT ISD 204 - KASSON-MANTORVILLE,P
760760,08/12/2014,08/12/2014 - STATE PRIMARY,P
760760,11/04/2014,11/04/2014 - STATE GENERAL,P
760760,11/08/2016,11/08/2016 - STATE GENERAL,P
792976,11/02/2010,11/02/2010 - STATE GENERAL,P
792976,11/06/2012,11/06/2012 - STATE GENERAL,P
792976,11/04/2014,11/04/2014 - STATE GENERAL,A
792976,11/08/2016,11/08/2016 - STATE GENERAL,A
760884,11/07/2000,STATE GENERAL,P
760884,09/15/1998,STATE PRIMARY ELECTION,P
760884,11/03/1998,STATE GENERAL,P
760884,11/05/1996,STATE GENERAL,P
760884,11/08/1994,STATE GENERAL,P
760884,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
760884,11/02/2004,11/02/2004 - STATE GENERAL,P
760884,09/10/2002,09-10-2002 STATE PRIMARY,P
760884,11/08/2005,11/08/2005 - SCHOOL DISTRICT GENERAL,P
760884,11/07/2006,11/07/2006 - STATE GENERAL,P
760884,11/06/2007,11/06/2007 - SD SPEC ELECT ISD 2125 - TRITON,P
760884,09/09/2008,09/09/2008 - STATE PRIMARY,P
760884,11/04/2008,11/04/2008 - STATE GENERAL,P
760884,08/10/2010,08/10/2010 - STATE PRIMARY,P
760884,11/02/2010,11/02/2010 - STATE GENERAL,P
760884,11/06/2012,11/06/2012 - STATE GENERAL,P
760884,11/04/2014,11/04/2014 - STATE GENERAL,P
760884,11/08/2016,11/08/2016 - STATE GENERAL,P
506141,11/02/2004,11/02/2004 - STATE GENERAL,P
506141,11/07/2000,STATE GENERAL,P
506141,11/03/1998,STATE GENERAL,P
506141,11/05/1996,STATE GENERAL,P
506141,09/13/1994,STATE PRIMARY ELECTION,P
506141,11/08/1994,STATE GENERAL,P
506141,11/07/2006,11/07/2006 - STATE GENERAL,A
506141,11/04/2008,11/04/2008 - STATE GENERAL,A
506141,08/10/2010,08/10/2010 - STATE PRIMARY,A
506141,11/02/2010,11/02/2010 - STATE GENERAL,A
506141,11/06/2012,11/06/2012 - STATE GENERAL,A
506141,08/12/2014,08/12/2014 - STATE PRIMARY,A
506141,11/04/2014,11/04/2014 - STATE GENERAL,A
506141,11/08/2016,11/08/2016 - STATE GENERAL,A
506141,11/07/2017,11/07/2017 - SCHOOL DISTRICT GENERAL,A
541267,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
541267,11/02/2004,11/02/2004 - STATE GENERAL,P
541267,11/06/2001,2001 SCHOOL REFERENDUMS,P
541267,11/07/2000,SCHOOL BOARD ELECTION,P
541267,11/03/1998,STATE GENERAL,P
541267,11/04/1997,SCHOOL BOARD ELECTION,P
541267,09/10/1996,STATE PRIMARY ELECTION,P
541267,11/07/1995,SCHOOL BOARD ELECTION,P
541267,11/07/2006,11/07/2006 - STATE GENERAL,P
541267,11/06/2007,11/06/2007 - SD SPEC ELECT ISD 088 - NEW ULM,P
541267,11/04/2008,11/04/2008 - STATE GENERAL,P
541267,11/06/2012,11/06/2012 - STATE GENERAL,P
541267,11/04/2014,11/04/2014 - STATE GENERAL,P
541267,11/08/2016,11/08/2016 - STATE GENERAL,P
506590,11/02/2004,11/02/2004 - STATE GENERAL,P
506590,11/07/2000,STATE GENERAL,P
506590,11/03/1998,STATE GENERAL,P
506590,11/04/1997,SCHOOL BOARD ELECTION,P
506590,11/05/1996,STATE GENERAL,P
506590,11/08/1994,STATE GENERAL,P
506590,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
506590,11/07/2006,11/07/2006 - STATE GENERAL,P
506590,11/04/2008,11/04/2008 - STATE GENERAL,P
506590,11/06/2012,11/06/2012 - STATE GENERAL,P
506590,11/04/2014,11/04/2014 - STATE GENERAL,P
506590,11/08/2016,11/08/2016 - STATE GENERAL,P
825492,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
825492,09/12/2000,STATE PRIMARY ELECTION,P
825492,11/07/2000,STATE GENERAL,P
825492,11/04/1997,SCHOOL BOARD ELECTION,P
825492,11/05/1996,STATE GENERAL,P
825492,11/02/2004,11/02/2004 - STATE GENERAL,P
825492,11/07/2006,11/07/2006 - STATE GENERAL,P
825492,11/04/2008,11/04/2008 - STATE GENERAL,P
825492,11/02/2010,11/02/2010 - STATE GENERAL,P
825492,11/06/2012,11/06/2012 - STATE GENERAL,P
825492,11/08/2016,11/08/2016 - STATE GENERAL,P
506864,11/02/2004,11/02/2004 - STATE GENERAL,P
506864,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
506864,11/07/2000,STATE GENERAL,P
506864,11/03/1998,STATE GENERAL,P
506864,11/05/1996,STATE GENERAL,P
506864,12/31/1996,SPECIAL ELECTION,P
506864,09/13/1994,STATE PRIMARY ELECTION,P
506864,11/08/1994,STATE GENERAL,P
506864,11/04/2003,11/04/2003 GENERAL ELECTION,A
506864,09/10/2002,09-10-2002 STATE PRIMARY,P
506864,11/07/2006,11/07/2006 - STATE GENERAL,P
506864,12/19/2006,12/19/2006 - SPEC ELECT MCD MANKATO W-01,P
506864,11/04/2008,11/04/2008 - STATE GENERAL,P
506864,08/13/2009,08/13/2009 - SPEC PRI BLUE EARTH CO COM 01,P
506864,11/02/2010,11/02/2010 - STATE GENERAL,P
506864,08/14/2012,08/14/2012 - STATE PRIMARY,P
506864,11/06/2012,11/06/2012 - STATE GENERAL,A
506864,11/05/2013,11/05/2013 - SCHOOL DISTRICT GENERAL,P
506864,11/04/2014,11/04/2014 - STATE GENERAL,P
506864,11/08/2016,11/08/2016 - STATE GENERAL,P
506864,11/07/2017,11/07/2017 - SCHOOL DISTRICT GENERAL,A
507234,11/02/2004,11/02/2004 - STATE GENERAL,A
507234,11/05/2002,11-05-2002 STATE GENERAL ELECTION,A
507234,11/06/2001,2001 GENERAL ELECTION,P
507234,09/12/2000,STATE PRIMARY ELECTION,A
507234,11/07/2000,STATE GENERAL,A
507234,11/02/1999,SCHOOL BOARD ELECTION,P
507234,11/03/1998,STATE GENERAL,A
507234,11/05/1996,STATE GENERAL,A
507234,09/13/1994,STATE PRIMARY ELECTION,P
507234,11/08/1994,STATE GENERAL,P
